City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,isafjordur,66.0755,-23.124,282.17,81,40,5.14,IS,1689613106
160,san borja,-14.8167,-66.85,303.59,50,83,0.63,BO,1689613107
161,arkhangel'sk,64.5401,40.5433,293.24,55,84,1.71,RU,1689613107
162,dakhla,23.6848,-15.958,298.16,65,0,8.75,EH,1689613108
163,tindouf,27.6711,-8.1474,313.4,21,40,5.14,DZ,1689613108
164,tobelo,1.7284,128.0095,298.33,86,100,1.12,ID,1689613109
165,badger,64.8,-147.5333,291.48,77,40,3.09,US,1689613109
166,san antonio de pale,-1.4014,5.6325,296.59,79,48,5.15,GQ,1689613110
167,dzhetygara,52.1908,61.2006,291.8,68,93,2.82,KZ,1689613110
168,cold lake,54.4502,-110.2017,292.12,55,75,6.69,CA,1689613110
169,st. john's,47.5649,-52.7093,303.3,65,75,5.66,CA,1689612833
170,takoradi,4.8845,-1.7554,298.46,86,81,6.2,GH,1689613061
171,sao martinho,39.5144,-9.1311,301.9,75,3,3.58,PT,1689613112
172,kuala belait,4.5833,114.1833,299.24,86,87,1.26,BN,1689613112
173,ilulissat,69.2167,-51.1,278.45,88,100,1.89,GL,1689613113
174,dwarka,22.2394,68.9678,301.83,78,96,7.15,IN,1689613113
175,smithers,54.7804,-127.1743,287.33,88,75,1.54,CA,1689613113
176,queenstown,-31.8976,26.8753,286.55,33,30,3.09,ZA,1689613114
177,bubaque,11.2833,-15.8333,299.06,87,100,6.27,GW,1689613114
178,biaora,23.8667,76.9167,300.75,81,100,2.09,IN,1689613115
179,labuan,5.2767,115.2417,300.35,88,20,0.0,MY,1689613115
180,whitehorse,60.7161,-135.0538,287.65,93,100,1.03,CA,1689613116
181,hundested,55.9667,11.8667,292.57,66,69,11.02,DK,1689613116
182,viedma,-40.8135,-62.9967,281.2,31,0,4.93,AR,1689612870
183,tadine,-21.55,167.8833,294.18,69,80,7.51,NC,1689613117
184,praia da vitoria,38.7333,-27.0667,295.29,78,75,2.89,PT,1689612940
185,vershino-darasunskiy,52.35,115.5167,288.56,80,46,2.11,RU,1689613118
186,faro,37.0194,-7.9322,303.81,54,0,3.09,PT,1689613118
187,enewetak,11.3474,162.3373,301.2,77,44,5.27,MH,1689613118
188,ternate,0.8,127.4,299.25,81,98,1.09,ID,1689613119
189,gaiman,-43.2897,-65.4929,278.76,30,0,2.32,AR,1689613119
190,cidreira,-30.1811,-50.2056,285.96,57,0,5.88,BR,1689613120
191,mechraa bel ksiri,34.574,-5.9537,308.24,27,0,7.38,MA,1689613120
192,santiago de cao,-7.9589,-79.2392,297.22,73,100,2.06,PE,1689613121
193,quellon,-43.1167,-73.6167,279.29,70,0,2.06,CL,1689613121
194,egilsstadir,65.2653,-14.3948,285.1,58,75,4.12,IS,1689613121
195,svetlogorsk,52.6333,29.7333,299.48,58,51,3.54,BY,1689613121
196,reserva,-24.6503,-50.8506,289.17,81,87,0.55,BR,1689613122
197,qarqaraly,49.4058,75.4742,292.7,49,25,3.21,KZ,1689613122
198,guerrero negro,27.9769,-114.0611,298.47,60,38,3.81,MX,1689613123
199,iqaluit,63.7506,-68.5145,279.0,100,100,5.66,CA,1689613123
200,crane,31.3974,-102.3501,308.09,22,0,7.86,US,1689613123
201,kavieng,-2.5744,150.7967,300.78,78,100,1.84,PG,1689613124
202,rawlins,41.7911,-107.2387,299.09,24,0,0.0,US,1689613124
203,nepomuceno,-21.2358,-45.2358,300.8,34,5,3.62,BR,1689613125
204,tres lagoas,-20.7511,-51.6783,303.78,31,4,1.62,BR,1689613125
205,jaisalmer,26.9147,70.9181,308.44,40,90,7.35,IN,1689613125
206,harstad,68.799,16.5293,289.05,87,98,6.26,NO,1689613126
207,dolinsk,47.35,142.8,286.02,93,100,0.9,RU,1689613126
208,nortelandia,-14.4547,-56.8028,310.15,19,10,0.63,BR,1689613126
209,qamdo,31.1667,97.2333,278.99,91,100,0.52,CN,1689613127
210,aasiaat,68.7098,-52.8699,276.32,96,100,1.73,GL,1689613127
211,iskateley,67.6803,53.1512,292.12,66,68,1.97,RU,1689612885
212,onega,63.9061,38.1404,293.85,59,100,3.4,RU,1689613128
213,buka,40.8108,69.1986,302.53,18,0,1.61,UZ,1689613128
214,oranjestad,12.524,-70.027,304.12,66,20,8.23,AW,1689613128
215,kailua-kona,19.6406,-155.9956,301.26,81,20,2.24,US,1689612991
216,saint-philippe,-21.3585,55.7679,294.92,87,48,5.83,RE,1689613083
217,suva,-18.1416,178.4415,294.86,83,75,3.09,FJ,1689613129
218,lebu,-37.6167,-73.65,283.34,56,100,2.16,CL,1689613130
219,thohoyandou,-22.9456,30.485,289.41,27,0,0.4,ZA,1689613130
220,rexburg,43.826,-111.7897,300.67,56,0,0.0,US,1689613070
221,maksatikha,57.797,35.8825,294.78,71,95,2.37,RU,1689613131
222,carnarvon,-24.8667,113.6333,290.49,57,1,4.52,AU,1689612968
223,karratha,-20.7377,116.8463,292.77,40,3,2.36,AU,1689613131
